id_mapa,anio,mes,dia,fecha,franja,tipo,subtipo,uso_arma,uso_moto,barrio,comuna,latitud,longitud,cantidad
1399612,2024,ENERO,LUNES,2024-01-01,17,Robo,Robo total,SI,NO,CHACARITA,15,-34.585182,-58.453967,1
1399613,2024,ENERO,LUNES,2024-01-01,6,Robo,Robo total,SI,NO,CHACARITA,15,-34.584186,-58.453476,1
1399614,2024,ENERO,LUNES,2024-01-01,1,Hurto,Hurto total,NO,NO,MATADEROS,9,-34.66436,-58.502121,1
1399615,2024,ENERO,LUNES,2024-01-01,19,Robo,Robo total,NO,NO,PALERMO,14,-34.564851,-58.434855,1
1399616,2024,ENERO,LUNES,2024-01-01,20,Hurto,Hurto total,NO,NO,SAN NICOLAS,1,-34.605522,-58.391176,1
1399617,2024,ENERO,LUNES,2024-01-01,5,Hurto,Hurto total,NO,NO,NUEVA POMPEYA,4,-34.644193,-58.426612,1
1399618,2024,ENERO,LUNES,2024-01-01,15,Hurto,Hurto total,NO,NO,MONSERRAT,1,-34.617489,-58.381553,1
1399619,2024,ENERO,LUNES,2024-01-01,2,Hurto,Hurto total,NO,NO,MATADEROS,9,-34.652431,-58.501514,1
1399620,2024,ENERO,LUNES,2024-01-01,7,Robo,Robo total,SI,NO,CHACARITA,15,-34.584358,-58.453433,1
1399621,2024,ENERO,LUNES,2024-01-01,16,Robo,Robo total,NO,NO,MONSERRAT,1,-34.614875,-58.375094,1
1399622,2024,ENERO,LUNES,2024-01-01,22,Robo,Robo total,NO,NO,LINIERS,9,-34.64012,-58.525001,1
1399623,2024,ENERO,LUNES,2024-01-01,19,Robo,Robo total,NO,NO,PALERMO,14,-34.568057,-58.435421,1
1399624,2024,ENERO,LUNES,2024-01-01,0,Robo,Robo total,NO,NO,NUEVA POMPEYA,4,-34.652015,-58.416374,1
1399625,2024,ENERO,LUNES,2024-01-01,13,Robo,Robo total,NO,NO,CHACARITA,15,-34.580402,-58.455582,1
1399626,2024,ENERO,LUNES,2024-01-01,19,Hurto,Hurto total,NO,NO,SAN NICOLAS,1,-34.601196,-58.382538,1
1399627,2024,ENERO,LUNES,2024-01-01,1,Hurto,Hurto total,NO,NO,PALERMO,14,-34.57342,-58.436312,1
1399628,2024,ENERO,LUNES,2024-01-01,23,Robo,Robo total,SI,NO,NUEVA POMPEYA,4,-34.643573,-58.422356,1
1399629,2024,ENERO,LUNES,2024-01-01,15,Robo,Robo total,NO,NO,LINIERS,9,-34.639147,-58.526418,1
1399630,2024,ENERO,LUNES,2024-01-01,16,Robo,Robo total,NO,NO,NUEVA POMPEYA,4,-34.647846,-58.430925,1
1399631,2024,ENERO,LUNES,2024-01-01,7,Robo,Robo total,NO,NO,MONSERRAT,1,-34.610215,-58.391288,1
1399632,2024,ENERO,LUNES,2024-01-01,2,Robo,Robo total,NO,NO,CHACARITA,15,-34.582238,-58.453494,1
1399633,2024,ENERO,LUNES,2024-01-01,5,Hurto,Hurto total,NO,NO,MATADEROS,9,-34.664138,-58.498293,1
1399634,2024,ENERO,LUNES,2024-01-01,5,Hurto,Hurto total,NO,NO,VILLA SANTA RITA,11,-34.61974,-58.48578,1
1399635,2024,ENERO,LUNES,2024-01-01,11,Hurto,Hurto total,NO,NO,MATADEROS,9,-34.64954,-58.500858,1
1399636,2024,ENERO,LUNES,2024-01-01,1,Robo,Robo automotor,SI,NO,LINIERS,9,-34.63473,-58.524266,1
1399637,2024,ENERO,LUNES,2024-01-01,13,Robo,Robo total,SI,NO,NUEVA POMPEYA,4,-34.650018,-58.405691,1
1399638,2024,ENERO,LUNES,2024-01-01,2,Robo,Robo total,NO,SI,VILLA SANTA RITA,11,-34.617624,-58.478314,1
1399639,2024,ENERO,LUNES,2024-01-01,6,Robo,Robo total,NO,NO,NUEVA POMPEYA,4,-34.649527,-58.412574,1
1399640,2024,ENERO,LUNES,2024-01-01,8,Robo,Robo total,NO,NO,FLORES,7,-34.650338,-58.430986,1
1399641,2024,ENERO,LUNES,2024-01-01,10,Robo,Robo total,NO,NO,SAN TELMO,1,-34.619873,-58.370107,1
1399642,2024,ENERO,LUNES,2024-01-01,4,Robo,Robo total,NO,NO,SAN TELMO,1,-34.619947,-58.37003,1
1399643,2024,ENERO,LUNES,2024-01-01,17,Hurto,Hurto total,NO,NO,CHACARITA,15,-34.579663,-58.458112,1
1399644,2024,ENERO,LUNES,2024-01-01,15,Hurto,Hurto total,NO,NO,MATADEROS,9,-34.653371,-58.503684,1
1399645,2024,ENERO,LUNES,2024-01-01,6,Robo,Robo total,NO,SI,PALERMO,14,-34.597744,-58.423371,1
1399646,2024,ENERO,LUNES,2024-01-01,23,Robo,Robo total,NO,NO,ALMAGRO,5,-34.604014,-58.414519,1
1399647,2024,ENERO,LUNES,2024-01-01,3,Robo,Robo total,NO,NO,VILLA DEL PARQUE,11,-34.598822,-58.492853,1
1399648,2024,ENERO,LUNES,2024-01-01,2,Hurto,Hurto total,NO,NO,PUERTO MADERO,1,-34.608042,-58.366066,1
1399649,2024,ENERO,LUNES,2024-01-01,20,Hurto,Hurto total,NO,NO,VILLA PUEYRREDON,12,-34.58543,-58.511177,1
1399650,2024,ENERO,LUNES,2024-01-01,2,Hurto,Hurto total,NO,NO,VERSALLES,10,-34.632327,-58.528279,1
1399651,2024,ENERO,LUNES,2024-01-01,2,Hurto,Hurto total,NO,NO,PUERTO MADERO,1,-34.609837,-58.363666,1
